Historical Date,AAPL US Equity,MSFT US Equity
30/11/2015,29.575,54.35
01/12/2015,29.335,55.22
02/12/2015,29.07,55.21
03/12/2015,28.8,54.2
04/12/2015,29.758,55.91
07/12/2015,29.57,55.81
08/12/2015,29.558,55.79
09/12/2015,28.905,54.98
10/12/2015,29.043,55.27
11/12/2015,28.295,54.06
14/12/2015,28.12,55.14
15/12/2015,27.623,55.2
16/12/2015,27.835,56.13
17/12/2015,27.245,55.7
18/12/2015,26.508,54.13
21/12/2015,26.833,54.83
22/12/2015,26.808,55.35
23/12/2015,27.153,55.82
24/12/2015,27.008,55.67
28/12/2015,26.705,55.95
29/12/2015,27.185,56.55
30/12/2015,26.83,56.31
31/12/2015,26.315,55.48
04/01/2016,26.338,54.8
05/01/2016,25.678,55.05
06/01/2016,25.175,54.05
07/01/2016,24.113,52.17
08/01/2016,24.24,52.33
11/01/2016,24.633,52.3
12/01/2016,24.99,52.78
13/01/2016,24.348,51.64
14/01/2016,24.88,53.11
15/01/2016,24.283,50.99
19/01/2016,24.165,50.56
20/01/2016,24.198,50.79
21/01/2016,24.075,50.48
22/01/2016,25.355,52.29
25/01/2016,24.86,51.79
26/01/2016,24.998,52.17
27/01/2016,23.355,51.22
28/01/2016,23.523,52.055
29/01/2016,24.335,55.09
01/02/2016,24.108,54.71
02/02/2016,23.62,53
03/02/2016,24.088,52.16
04/02/2016,24.15,52
05/02/2016,23.505,50.16
08/02/2016,23.753,49.41
09/02/2016,23.748,49.28
10/02/2016,23.568,49.71
11/02/2016,23.425,49.69
12/02/2016,23.498,50.5
16/02/2016,24.16,51.09
17/02/2016,24.53,52.42
18/02/2016,24.065,52.19
19/02/2016,24.01,51.82
22/02/2016,24.22,52.65
23/02/2016,23.673,51.18
24/02/2016,24.025,51.36
25/02/2016,24.19,52.1
26/02/2016,24.228,51.3
29/02/2016,24.173,50.88
01/03/2016,25.133,52.58
02/03/2016,25.188,52.95
03/03/2016,25.375,52.35
04/03/2016,25.753,52.03
07/03/2016,25.468,51.03
08/03/2016,25.258,51.65
09/03/2016,25.28,52.84
10/03/2016,25.293,52.05
11/03/2016,25.565,53.07
14/03/2016,25.63,53.17
15/03/2016,26.145,53.59
16/03/2016,26.493,54.35
17/03/2016,26.45,54.66
18/03/2016,26.48,53.49
21/03/2016,26.478,53.86
22/03/2016,26.68,54.07
23/03/2016,26.533,53.97
24/03/2016,26.418,54.21
28/03/2016,26.298,53.54
29/03/2016,26.92,54.71
30/03/2016,27.39,55.05
31/03/2016,27.248,55.23
01/04/2016,27.498,55.57
04/04/2016,27.78,55.43
05/04/2016,27.453,54.56
06/04/2016,27.74,55.12
07/04/2016,27.135,54.46
08/04/2016,27.165,54.42
11/04/2016,27.255,54.31
12/04/2016,27.61,54.65
13/04/2016,28.01,55.35
14/04/2016,28.025,55.36
15/04/2016,27.463,55.65
18/04/2016,26.87,56.46
19/04/2016,26.728,56.39
20/04/2016,26.783,55.59
21/04/2016,26.493,55.78
22/04/2016,26.42,51.78
25/04/2016,26.27,52.11
26/04/2016,26.088,51.44
27/04/2016,24.455,50.94
28/04/2016,23.708,49.9
29/04/2016,23.435,49.87
02/05/2016,23.41,50.61
03/05/2016,23.795,49.78
04/05/2016,23.548,49.87
05/05/2016,23.31,49.94
06/05/2016,23.18,50.39
09/05/2016,23.198,50.07
10/05/2016,23.355,51.02
11/05/2016,23.128,51.05
12/05/2016,22.585,51.51
13/05/2016,22.63,51.08
16/05/2016,23.47,51.83
17/05/2016,23.373,50.51
18/05/2016,23.64,50.81
19/05/2016,23.55,50.32
20/05/2016,23.805,50.62
23/05/2016,24.108,50.03
24/05/2016,24.475,51.59
25/05/2016,24.905,52.12
26/05/2016,25.103,51.89
27/05/2016,25.088,52.32
31/05/2016,24.965,53
01/06/2016,24.615,52.85
02/06/2016,24.43,52.48
03/06/2016,24.48,51.79
06/06/2016,24.658,52.13
07/06/2016,24.758,52.1
08/06/2016,24.735,52.04
09/06/2016,24.913,51.62
10/06/2016,24.708,51.48
13/06/2016,24.335,50.14
14/06/2016,24.365,49.83
15/06/2016,24.285,49.69
16/06/2016,24.388,50.39
17/06/2016,23.833,50.13
20/06/2016,23.775,50.07
21/06/2016,23.978,51.19
22/06/2016,23.888,50.99
23/06/2016,24.025,51.91
24/06/2016,23.35,49.83
27/06/2016,23.01,48.43
28/06/2016,23.398,49.44
29/06/2016,23.6,50.54
30/06/2016,23.9,51.17
01/07/2016,23.973,51.16
05/07/2016,23.748,51.17
06/07/2016,23.883,51.38
07/07/2016,23.985,51.38
08/07/2016,24.17,52.3
11/07/2016,24.245,52.59
12/07/2016,24.355,53.21
13/07/2016,24.218,53.51
14/07/2016,24.698,53.74
15/07/2016,24.695,53.7
18/07/2016,24.958,53.96
19/07/2016,24.968,53.09
20/07/2016,24.99,55.91
21/07/2016,24.858,55.8
22/07/2016,24.665,56.57
25/07/2016,24.335,56.73
26/07/2016,24.168,56.76
27/07/2016,25.738,56.19
28/07/2016,26.085,56.21
29/07/2016,26.053,56.68
01/08/2016,26.513,56.58
02/08/2016,26.12,56.58
03/08/2016,26.448,56.97
04/08/2016,26.468,57.39
05/08/2016,26.87,57.96
08/08/2016,27.093,58.06
09/08/2016,27.203,58.2
10/08/2016,27,58.02
11/08/2016,26.983,58.3
12/08/2016,27.045,57.94
15/08/2016,27.37,58.12
16/08/2016,27.345,57.44
17/08/2016,27.305,57.56
18/08/2016,27.27,57.6
19/08/2016,27.34,57.62
22/08/2016,27.128,57.67
23/08/2016,27.213,57.89
24/08/2016,27.008,57.95
25/08/2016,26.893,58.17
26/08/2016,26.735,58.03
29/08/2016,26.705,58.1
30/08/2016,26.5,57.89
31/08/2016,26.525,57.46
01/09/2016,26.683,57.59
02/09/2016,26.933,57.67
06/09/2016,26.925,57.61
07/09/2016,27.09,57.66
08/09/2016,26.38,57.43
09/09/2016,25.783,56.21
12/09/2016,26.36,57.05
13/09/2016,26.988,56.53
14/09/2016,27.943,56.26
15/09/2016,28.893,57.19
16/09/2016,28.73,57.25
19/09/2016,28.395,56.93
20/09/2016,28.393,56.81
21/09/2016,28.388,57.76
22/09/2016,28.655,57.82
23/09/2016,28.178,57.43
26/09/2016,28.22,56.9
27/09/2016,28.273,57.95
28/09/2016,28.488,58.03
29/09/2016,28.045,57.4
30/09/2016,28.263,57.6
03/10/2016,28.13,57.42
04/10/2016,28.25,57.24
05/10/2016,28.263,57.64
06/10/2016,28.473,57.74
07/10/2016,28.515,57.8
10/10/2016,29.013,58.04
11/10/2016,29.075,57.19
12/10/2016,29.335,57.11
13/10/2016,29.245,56.92
14/10/2016,29.408,57.42
17/10/2016,29.388,57.22
18/10/2016,29.368,57.66
19/10/2016,29.28,57.53
20/10/2016,29.265,57.25
21/10/2016,29.15,59.66
24/10/2016,29.413,61
25/10/2016,29.563,60.99
26/10/2016,28.898,60.63
27/10/2016,28.62,60.1
28/10/2016,28.43,59.87
31/10/2016,28.385,59.92
01/11/2016,27.873,59.8
02/11/2016,27.898,59.43
03/11/2016,27.458,59.21
04/11/2016,27.21,58.71
07/11/2016,27.603,60.42
08/11/2016,27.765,60.47
09/11/2016,27.72,60.17
10/11/2016,26.948,58.7
11/11/2016,27.108,59.02
14/11/2016,26.428,58.12
15/11/2016,26.778,58.87
16/11/2016,27.498,59.65
17/11/2016,27.488,60.64
18/11/2016,27.515,60.35
21/11/2016,27.933,60.86
22/11/2016,27.95,61.12
23/11/2016,27.808,60.4
25/11/2016,27.948,60.53
28/11/2016,27.893,60.61
29/11/2016,27.865,61.09
30/11/2016,27.63,60.26
01/12/2016,27.373,59.2
02/12/2016,27.475,59.25
05/12/2016,27.278,60.22
06/12/2016,27.488,59.95
07/12/2016,27.758,61.37
08/12/2016,28.03,61.01
09/12/2016,28.488,61.97
12/12/2016,28.325,62.17
13/12/2016,28.798,62.98
14/12/2016,28.798,62.68
15/12/2016,28.955,62.58
16/12/2016,28.993,62.3
19/12/2016,29.16,63.62
20/12/2016,29.238,63.54
21/12/2016,29.265,63.54
22/12/2016,29.073,63.55
23/12/2016,29.13,63.24
27/12/2016,29.315,63.28
28/12/2016,29.19,62.99
29/12/2016,29.183,62.9
30/12/2016,28.955,62.14
03/01/2017,29.038,62.58
04/01/2017,29.005,62.3
05/01/2017,29.153,62.3
06/01/2017,29.478,62.84
09/01/2017,29.748,62.64
10/01/2017,29.778,62.62
11/01/2017,29.938,63.19
12/01/2017,29.813,62.61
13/01/2017,29.76,62.7
17/01/2017,30,62.53
18/01/2017,29.998,62.5
19/01/2017,29.945,62.3
20/01/2017,30,62.74
23/01/2017,30.02,62.96
24/01/2017,29.993,63.52
25/01/2017,30.47,63.68
26/01/2017,30.485,64.27
27/01/2017,30.488,65.78
30/01/2017,30.408,65.13
31/01/2017,30.338,64.65
01/02/2017,32.188,63.58
02/02/2017,32.133,63.17
03/02/2017,32.27,63.68
06/02/2017,32.573,63.64
07/02/2017,32.883,63.43
08/02/2017,33.01,63.34
09/02/2017,33.105,64.06
10/02/2017,33.03,64
13/02/2017,33.323,64.72
14/02/2017,33.755,64.57
15/02/2017,33.878,64.53
16/02/2017,33.836,64.52
17/02/2017,33.93,64.62
21/02/2017,34.175,64.49
22/02/2017,34.278,64.36
23/02/2017,34.133,64.62
24/02/2017,34.165,64.62
27/02/2017,34.233,64.23
28/02/2017,34.248,63.98
01/03/2017,34.948,64.94
02/03/2017,34.74,64.01
03/03/2017,34.945,64.25
06/03/2017,34.835,64.27
07/03/2017,34.88,64.4
08/03/2017,34.75,64.99
09/03/2017,34.67,64.73
10/03/2017,34.785,64.93
13/03/2017,34.8,64.71
14/03/2017,34.748,64.41
15/03/2017,35.115,64.75
16/03/2017,35.173,64.64
17/03/2017,34.998,64.87
20/03/2017,35.365,64.93
21/03/2017,34.96,64.21
22/03/2017,35.355,65.03
23/03/2017,35.23,64.87
24/03/2017,35.16,64.98
27/03/2017,35.22,65.1
28/03/2017,35.95,65.29
29/03/2017,36.03,65.47
30/03/2017,35.983,65.71
31/03/2017,35.915,65.86
03/04/2017,35.925,65.55
04/04/2017,36.193,65.73
05/04/2017,36.005,65.56
06/04/2017,35.915,65.73
07/04/2017,35.835,65.68
10/04/2017,35.793,65.53
11/04/2017,35.408,65.48
12/04/2017,35.45,65.23
13/04/2017,35.263,64.95
17/04/2017,35.458,65.48
18/04/2017,35.3,65.39
19/04/2017,35.17,65.04
20/04/2017,35.61,65.5
21/04/2017,35.568,66.4
24/04/2017,35.91,67.53
25/04/2017,36.133,67.92
26/04/2017,35.92,67.83
27/04/2017,35.948,68.27
28/04/2017,35.913,68.46
01/05/2017,36.645,69.41
02/05/2017,36.878,69.3
03/05/2017,36.765,69.08
04/05/2017,36.633,68.81
05/05/2017,37.24,69
08/05/2017,38.253,68.94
09/05/2017,38.498,69.04
10/05/2017,38.315,69.31
11/05/2017,38.488,68.46
12/05/2017,39.025,68.38
15/05/2017,38.925,68.43
16/05/2017,38.868,69.41
17/05/2017,37.563,67.48
18/05/2017,38.135,67.71
19/05/2017,38.265,67.69
22/05/2017,38.498,68.45
23/05/2017,38.45,68.68
24/05/2017,38.335,68.77
25/05/2017,38.468,69.62
26/05/2017,38.403,69.96
30/05/2017,38.418,70.41
31/05/2017,38.19,69.84
01/06/2017,38.295,70.1
02/06/2017,38.863,71.76
05/06/2017,38.483,72.28
06/06/2017,38.613,72.52
07/06/2017,38.843,72.39
08/06/2017,38.748,71.95
09/06/2017,37.245,70.32
12/06/2017,36.355,69.78
13/06/2017,36.648,70.65
14/06/2017,36.29,70.27
15/06/2017,36.073,69.9
16/06/2017,35.568,70
19/06/2017,36.585,70.87
20/06/2017,36.253,69.91
21/06/2017,36.468,70.27
22/06/2017,36.408,70.26
23/06/2017,36.57,71.21
26/06/2017,36.455,70.53
27/06/2017,35.933,69.21
28/06/2017,36.458,69.8
29/06/2017,35.92,68.49
30/06/2017,36.005,68.93
03/07/2017,35.875,68.17
05/07/2017,36.023,69.08
06/07/2017,35.683,68.57
07/07/2017,36.045,69.46
10/07/2017,36.265,69.98
11/07/2017,36.383,69.99
12/07/2017,36.435,71.15
13/07/2017,36.943,71.77
14/07/2017,37.26,72.78
17/07/2017,37.39,73.35
18/07/2017,37.52,73.3
19/07/2017,37.755,73.86
20/07/2017,37.585,74.22
21/07/2017,37.568,73.79
24/07/2017,38.023,73.6
25/07/2017,38.185,74.19
26/07/2017,38.365,74.05
27/07/2017,37.64,73.16
28/07/2017,37.375,73.04
31/07/2017,37.183,72.7
01/08/2017,37.513,72.58
02/08/2017,39.285,72.26
03/08/2017,38.893,72.15
04/08/2017,39.098,72.68
07/08/2017,39.703,72.4
08/08/2017,40.02,72.79
09/08/2017,40.265,72.47
10/08/2017,38.83,71.41
11/08/2017,39.37,72.5
14/08/2017,39.963,73.59
15/08/2017,40.4,73.22
16/08/2017,40.238,73.65
17/08/2017,39.465,72.4
18/08/2017,39.375,72.49
21/08/2017,39.303,72.15
22/08/2017,39.945,73.16
23/08/2017,39.995,72.72
24/08/2017,39.818,72.69
25/08/2017,39.965,72.82
28/08/2017,40.368,72.83
29/08/2017,40.728,73.05
30/08/2017,40.838,74.01
31/08/2017,41,74.77
01/09/2017,41.013,73.94
05/09/2017,40.52,73.61
06/09/2017,40.478,73.4
07/09/2017,40.315,74.34
08/09/2017,39.658,73.98
11/09/2017,40.375,74.76
12/09/2017,40.215,74.68
13/09/2017,39.913,75.21
14/09/2017,39.57,74.77
15/09/2017,39.97,75.31
18/09/2017,39.668,75.16
19/09/2017,39.683,75.44
20/09/2017,39.018,74.94
21/09/2017,38.348,74.21
22/09/2017,37.973,74.41
25/09/2017,37.638,73.26
26/09/2017,38.285,73.26
27/09/2017,38.558,73.85
28/09/2017,38.32,73.87
29/09/2017,38.53,74.49
02/10/2017,38.453,74.61
03/10/2017,38.62,74.26
04/10/2017,38.37,74.69
05/10/2017,38.848,75.97
06/10/2017,38.825,76
09/10/2017,38.96,76.29
10/10/2017,38.975,76.29
11/10/2017,39.138,76.42
12/10/2017,39,77.12
13/10/2017,39.248,77.49
16/10/2017,39.97,77.65
17/10/2017,40.118,77.59
18/10/2017,39.94,77.61
19/10/2017,38.995,77.91
20/10/2017,39.063,78.81
23/10/2017,39.043,78.83
24/10/2017,39.275,78.86
25/10/2017,39.103,78.63
26/10/2017,39.353,78.76
27/10/2017,40.763,83.81
30/10/2017,41.68,83.89
